"Western-Forest Park",FF00A1DE,12 , 17 , 21 , 20 , 21 , 20 , 20 , 20 , 20 , 20 , 23 , 25 , 27 , 23 , 18 , 17 , 16 , 16 , 13 , 51 , 172 , 72 , 117 , 93 , 0 , 42 , 51 , 53 , 44 , 41 , 60 , 22 , 60 , 66 , 6 , 26 , 160 , 69
"Illinois Medical District",FF00A1DE,12 , 17 , 20 , 20 , 21 , 20 , 20 , 20 , 20 , 20 , 22 , 26 , 27 , 22 , 20 , 17 , 16 , 16 , 13 , 35 , 179 , 80 , 87 , 18 , 0 , 47 , 31 , 57 , 91 , 32 , 66 , 51 , 70 , 59 , 12 , 37 , 160 , 33
"Racine",FF00A1DE,11 , 18 , 19 , 21 , 20 , 20 , 20 , 20 , 20 , 21 , 22 , 25 , 27 , 23 , 20 , 17 , 16 , 16 , 13 , 26 , 148 , 65 , 71 , 28 , 0 , 34 , 113 , 111 , 128 , 41 , 52 , 45 , 56 , 40 , 173 , 31 , 168 , 48
"UIC-Halsted",FF00A1DE,11 , 17 , 21 , 24 , 23 , 20 , 20 , 20 , 20 , 21 , 22 , 25 , 27 , 23 , 19 , 18 , 16 , 16 , 13 , 22 , 173 , 73 , 55 , 94 , 258 , 45 , 29 , 79 , 143 , 46 , 71 , 58 , 51 , 47 , 167 , 56 , 195 , 54
"Clinton-Blue",FF00A1DE,11 , 17 , 21 , 24 , 22 , 20 , 20 , 20 , 20 , 20 , 23 , 24 , 28 , 23 , 19 , 18 , 17 , 16 , 13 , 48 , 148 , 82 , 45 , 105 , 174 , 60 , 59 , 81 , 90 , 68 , 34 , 49 , 43 , 45 , 136 , 95 , 148 , 48
"LaSalle",FF00A1DE,11 , 16 , 20 , 24 , 23 , 20 , 20 , 20 , 20 , 20 , 22 , 25 , 28 , 23 , 19 , 17 , 17 , 16 , 14 , 43 , 181 , 72 , 56 , 93 , 88 , 88 , 113 , 71 , 41 , 42 , 39 , 54 , 49 , 62 , 110 , 79 , 63 , 123
"Jackson-Blue",FF00A1DE,10 , 16 , 20 , 24 , 24 , 20 , 20 , 20 , 20 , 20 , 22 , 25 , 27 , 23 , 20 , 17 , 16 , 16 , 15 , 44 , 173 , 91 , 43 , 78 , 69 , 64 , 149 , 104 , 72 , 37 , 43 , 60 , 32 , 45 , 87 , 68 , 73 , 184
"Monroe-Blue",FF00A1DE,10 , 16 , 20 , 24 , 24 , 20 , 20 , 20 , 20 , 20 , 22 , 24 , 28 , 23 , 20 , 17 , 16 , 16 , 15 , 60 , 181 , 85 , 60 , 102 , 73 , 70 , 91 , 91 , 112 , 58 , 56 , 38 , 19 , 39 , 119 , 18 , 103 , 118
"Washington-Blue",FF00A1DE,10 , 16 , 19 , 25 , 24 , 20 , 20 , 20 , 20 , 20 , 22 , 24 , 28 , 23 , 20 , 17 , 16 , 16 , 15 , 73 , 160 , 121 , 67 , 101 , 96 , 87 , 56 , 53 , 114 , 76 , 68 , 45 , 80 , 46 , 87 , 71 , 78 , 138
"Clark/Lake (Subway)",FF00A1DE,9 , 17 , 19 , 25 , 23 , 20 , 20 , 20 , 20 , 21 , 22 , 24 , 28 , 23 , 20 , 17 , 16 , 16 , 15 , 50 , 155 , 111 , 83 , 137 , 96 , 30 , 94 , 45 , 84 , 61 , 66 , 49 , 37 , 56 , 99 , 79 , 76 , 114
